obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
1.23766E+18,135.6891066,32.49463184,23.87882,22.2753,20.39501,19.16573,18.79371,3606,301,2,79,6.54378E+18,GALAXY,0.6347936,5812,56354,171
1.23766E+18,144.8261006,31.27418489,24.77759,22.83188,22.58444,21.16812,21.61427,4518,301,5,119,1.17601E+19,GALAXY,0.779136,10445,58158,427
1.23766E+18,142.1887896,35.58244418,25.26307,22.66389,20.60976,19.34857,18.94827,3606,301,2,120,5.1522E+18,GALAXY,0.6441945,4576,55592,299
1.23766E+18,338.7410378,-0.402827575,22.13682,23.77656,21.61162,20.50454,19.2501,4192,301,3,214,1.03011E+19,GALAXY,0.9323456,9149,58039,775
1.23768E+18,345.2825932,21.1838656,19.43718,17.58028,16.49747,15.97711,15.54461,8102,301,3,137,6.89186E+18,GALAXY,0.1161227,6121,56187,842
1.23768E+18,340.9951205,20.58947628,23.48827,23.33776,21.32195,20.25615,19.54544,8102,301,3,110,5.65898E+18,QSO,1.424659,5026,55855,741
1.23768E+18,23.23492643,11.41818762,21.46973,21.17624,20.92829,20.60826,20.42573,7773,301,2,462,1.25E+19,QSO,0.5864546,11069,58456,113
1.23768E+18,5.433176037,12.06518599,22.24979,22.02172,20.34126,19.48794,18.84999,7773,301,2,346,6.96144E+18,GALAXY,0.477009,6183,56210,15
1.23766E+18,200.2904754,47.19940232,24.40286,22.35669,20.61032,19.4649,18.95852,3716,301,5,108,7.45928E+18,GALAXY,0.660012,6625,56386,719
1.23767E+18,39.1496906,28.10284161,21.74669,20.03493,19.17553,18.81823,18.65422,5934,301,4,122,2.75176E+18,STAR,-7.90E-06,2444,54082,232
1.23768E+18,328.0920762,18.22031048,25.77163,22.52042,20.63884,19.78071,19.05765,8102,301,3,27,5.65216E+18,GALAXY,0.4595958,5020,55852,525
1.23766E+18,243.9866375,25.73828043,23.76761,23.79969,20.98318,19.80745,19.45579,3927,301,4,112,5.32236E+18,GALAXY,0.5914091,4727,55693,855
1.23768E+18,345.8018744,32.67286785,23.17274,20.14496,19.41948,19.22034,18.89359,8157,301,2,38,7.32301E+18,STAR,7.18E-05,6504,56540,574
1.23768E+18,331.50203,10.03580205,20.8294,18.75091,17.51118,17.01631,16.62772,7773,301,2,123,5.70274E+18,GALAXY,0.1521936,5065,55739,200
1.23766E+18,344.9847703,-0.352615781,23.20911,22.79291,22.08589,21.86282,21.8512,4192,301,3,255,1.03754E+19,GALAXY,0.8181597,9215,57682,796
1.23766E+18,244.8245231,25.15456399,24.8868,22.13311,20.44728,19.49171,18.9747,3927,301,4,118,5.32214E+18,GALAXY,0.4849288,4727,55693,23
1.23768E+18,353.2015224,3.080795936,24.5489,21.44267,20.95315,20.7936,20.48442,7712,301,5,284,4.82228E+18,STAR,-0.000428576,4283,55864,178
1.23768E+18,1.494388639,3.29174633,20.38562,20.40514,20.29996,20.05918,19.89044,7712,301,5,339,9.84382E+18,QSO,2.031528,8743,57663,295
1.23768E+18,14.38313522,3.214326196,21.82154,20.5573,19.94918,19.76057,19.55514,7712,301,5,425,9.85507E+18,STAR,-0.000440276,8753,57373,258
1.23765E+18,167.1316688,67.33993563,20.48292,18.67807,17.6168,17.11936,16.73351,1412,301,5,124,5.51859E+17,GALAXY,0.1115879,490,51929,613
1.23765E+18,171.9754246,67.74745014,22.13367,20.84772,18.96537,18.31696,17.98124,1412,301,5,136,5.52974E+17,GALAXY,0.3747563,491,51942,572
1.23766E+18,144.7852927,46.82649568,24.54793,22.33601,20.92259,19.87177,19.16934,2821,301,2,28,8.23729E+18,STAR,-0.000120359,7316,56710,756
1.23766E+18,145.2730374,46.96013381,25.44243,20.77028,19.6617,19.08481,18.83176,2821,301,2,30,9.39032E+17,GALAXY,0.6623096,834,52316,115
1.23766E+18,145.8830055,47.30048358,21.73992,21.53095,21.26763,21.36257,21.15861,2821,301,2,33,8.22824E+18,QSO,2.07568,7308,56709,596
1.23766E+18,241.4262672,27.22469494,18.88323,17.54229,17.01789,16.75376,16.72259,3927,301,4,94,1.56848E+18,GALAXY,0.03208113,1393,52824,368
1.23766E+18,132.922468,4.521864697,21.2611,20.50495,18.36379,23.17828,17.96264,3015,301,3,126,1.33987E+18,GALAXY,0.2509563,1190,52670,190
1.23766E+18,143.2880176,5.552052211,25.98497,21.31456,19.61107,18.83178,18.27728,3015,301,3,195,5.48431E+18,GALAXY,0.4612782,4871,55928,170
1.23766E+18,140.6000381,5.265757704,25.46577,22.4065,21.43408,20.26256,19.98775,3015,301,3,177,5.48319E+18,GALAXY,0.6110625,4870,55923,203
1.23766E+18,333.3115106,-0.376122967,20.53324,18.84066,18.05369,17.60397,17.2903,4192,301,3,177,1.16423E+18,GALAXY,0.09108476,1034,52813,184
1.23766E+18,337.0934355,-0.31177327,20.15491,18.37295,17.31276,16.82294,16.44342,4192,301,3,203,4.23402E+17,GALAXY,0.1482283,376,52143,231
1.23766E+18,252.7585486,19.49352687,24.36048,20.3777,18.53392,17.84004,17.44505,3927,301,4,180,1.76547E+18,GALAXY,0.3846326,1568,53169,199
1.23766E+18,240.2139089,27.96429085,23.08039,22.02426,20.80525,19.90149,19.37544,3927,301,4,85,5.31992E+18,GALAXY,0.546072,4725,55711,141
1.23767E+18,255.5748935,45.47870292,23.73066,22.82349,21.32414,19.81448,19.28439,5416,301,5,12,6.78363E+18,GALAXY,0.7491816,6025,56098,313
1.23768E+18,20.05255573,11.49788077,21.89214,21.35124,21.18755,20.843,20.7658,7773,301,2,441,1.24683E+19,QSO,1.528308,11074,58488,306
1.23767E+18,144.721737,5.846847285,22.88916,21.63309,20.06106,19.13263,18.9481,6574,301,4,198,5.48549E+18,GALAXY,0.5091722,4872,55944,375
1.23768E+18,44.92336027,3.175548751,23.8628,22.7784,20.98458,19.70143,19.24533,7675,301,6,168,4.79323E+18,GALAXY,0.5981273,4257,55480,987
